Question,Statistic,p-value,Interpretation
Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,0.231,0.891,Not Significant
Please rate your satisfaction with the explanations about the artworks.,1.327,0.515,Not Significant
Was the duration of the visit to your liking?,0.365,0.833,Not Significant
Would you like to hear more explanations of this kind about other works in the collection?,0.33,0.848,Not Significant
Would you like to visit the museum again with such a guide?,1.949,0.377,Not Significant
Would you like to visit other museums with similar guidance?,2.05,0.359,Not Significant
Would you recommend your friends to visit the collection accompanied by this type of audio guide?,0.79,0.674,Not Significant
Please rate how much you liked the artwork.,1.374,0.503,Not Significant
Please rate how much you liked the artwork..1,0.904,0.636,Not Significant
Please rate how much you liked the artwork..2,2.327,0.312,Not Significant
Please rate how much you liked the artwork..3,0.371,0.831,Not Significant
Please rate how much you liked the artwork..4,9.259,0.01,Significant
Please rate how much you liked the artwork..5,0.814,0.666,Not Significant
Please rate how much you liked the artwork..6,1.835,0.399,Not Significant
