Variable,H,p,epsilon_sq,Type1_N,Type1_Mean,Type1_SD,Type1_Median,Type1_Min,Type1_Max,Type2_N,Type2_Mean,Type2_SD,Type2_Median,Type2_Min,Type2_Max,Type3_N,Type3_Mean,Type3_SD,Type3_Median,Type3_Min,Type3_Max
AvgSelfReportedLiking,0.23550385387828807,0.8889165415121072,-0.03921102546937138,16.0,27.754375000000003,7.511161444809984,28.36,13.0,40.71,16.0,28.954375,7.8774640325001375,29.215,16.07,44.5,16.0,27.9375,8.343111729644603,27.25,12.86,41.93
AvgGazeTime,3.4289436543263365,0.1800587977683567,0.03175430342947415,16.0,51.059375,12.239044880354566,53.745,28.32,68.03,16.0,53.9075,11.071853503366091,56.55,20.61,68.11,16.0,58.678124999999994,7.217788413588565,58.879999999999995,39.82,68.74
AvgGazePercent_Audio,2.290178571428555,0.318195506209012,0.006448412698412337,16.0,72.080625,15.332142911217597,76.24,42.25,91.11,16.0,74.31625,15.761039252959602,78.94,26.22,91.55,16.0,80.32749999999999,10.08586965346403,80.85499999999999,54.61,94.35
AvgSaccadeRate,0.8650023068989606,0.6488841046789884,-0.02522217095780088,16.0,9.34,4.391043915365305,7.955,5.06,24.35,16.0,8.393125000000001,1.6493583348280223,8.205,4.74,12.25,16.0,8.84,1.48143173990569,9.195,6.15,11.64
Engagement_High,2.000000000000011,0.3678794411714404,2.4671622769447924e-16,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0625,0.25,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0
Engagement_Moderate,0.8163165142990578,0.6648736494874096,-0.026304077460020933,16.0,0.625,1.408308678285174,0.0,0.0,5.0,16.0,0.3125,0.7932002689527196,0.0,0.0,3.0,16.0,0.25,0.6831300510639732,0.0,0.0,2.0
Engagement_Low,0.7972870033985577,0.671229951041798,-0.02672695548003205,16.0,6.375,1.408308678285174,7.0,2.0,7.0,16.0,6.625,1.02469507659596,7.0,3.0,7.0,16.0,6.75,0.6831300510639732,7.0,5.0,7.0
TotalExperimentTime,11.952168367346928,0.0025387481248703345,0.22115929705215395,16.0,670.7725,53.68156114222711,658.49,601.06,767.86,16.0,662.7325,77.1896657590898,639.8050000000001,586.38,851.53,16.0,614.64375,58.16894358962807,597.595,550.63,787.17
AvgSpeed,2.2653161918957494,0.32217574321341574,0.005895915375461098,16.0,0.11062500000000001,0.03415040263305837,0.1,0.07,0.18,16.0,0.10250000000000001,0.02265686062395524,0.1,0.07,0.15,16.0,0.09437500000000001,0.027317576759295473,0.09,0.06,0.17
TotalDistance,4.489401834663188,0.10595922620308298,0.05532004077029307,16.0,78.83687499999999,30.924722304061735,65.13,48.89,137.65,16.0,68.92875000000001,19.610048742077787,63.894999999999996,41.83,103.84,16.0,59.350625,21.29250117412231,55.525,35.59,114.02
TimeStill,2.4515306122448806,0.2935329717610021,0.01003401360544179,16.0,137.8625,56.43785154190994,130.05,61.96,259.4,16.0,171.12125,64.87993895136873,164.12,63.12,271.18,16.0,142.47875,56.239398037911705,127.47999999999999,41.04,253.76
TimeMoving,3.65625,0.1607146253680441,0.03680555555555556,16.0,555.65375,112.89008925351537,556.39,396.74,817.88,16.0,504.65625,95.26849754772036,497.7,374.82,701.78,16.0,485.37,108.53272293030646,470.96000000000004,325.5,795.46
Q1_SatisfactionTour,1.0746415211969835,0.5843116678999241,-0.020563521751178145,16.0,24.75,15.088627063675034,22.0,1.0,44.0,16.0,28.4375,15.526187555224238,22.0,1.0,44.0,16.0,30.1875,15.219368142819421,33.0,7.0,44.0
Q2_SatisfactionExplanations,0.45761924192962655,0.7954799617978878,-0.03427512795711941,16.0,27.8125,15.574418127172521,26.0,1.0,45.0,16.0,30.3125,16.369560165135773,35.5,3.0,45.0,16.0,26.75,14.66287829861518,26.0,3.0,45.0
Q3_VisitDuration,0.46359321576390394,0.7931074187007509,-0.034142372983024354,16.0,30.5625,14.997638703031443,28.5,4.0,50.0,16.0,31.1875,11.754254548885692,38.0,19.0,50.0,16.0,27.3125,17.921007226157798,28.5,4.0,55.0
Q4_WantMoreExplanations,2.713768909526294,0.2574616621639077,0.01586153132280653,16.0,22.9375,15.648082949677894,25.0,1.0,49.0,16.0,28.375,16.875524683201213,32.0,9.0,49.0,16.0,32.125,14.66912858125299,32.0,9.0,49.0
Q5_VisitAgainThisMuseum,1.078235294117631,0.5832626689235451,-0.02048366013071931,16.0,25.5625,17.458402943377536,25.0,1.0,45.0,16.0,31.3125,15.168910090488813,35.0,9.0,45.0,16.0,28.4375,14.895049513177188,25.0,3.0,45.0
Q6_VisitOtherMuseums,6.513924326109126,0.03850519302359839,0.10030942946909169,16.0,20.3125,14.911824167418285,25.0,1.0,44.0,16.0,33.6875,13.093096145170044,44.0,6.0,44.0,16.0,28.875,14.885675440951054,25.0,6.0,44.0
Q7_RecommendFriends,2.5064780790673957,0.28557829779014454,0.011255068423719905,16.0,23.375,15.941037189175198,22.0,3.0,42.0,16.0,31.8125,14.395456459128576,42.0,3.0,42.0,16.0,28.5625,14.841243209381078,32.0,3.0,42.0
AvgGeneralRating,1.4874952479226593,0.4753292182548552,-0.011388994490607571,16.0,25.393125,12.048751923608796,29.75,7.79,43.5,16.0,31.081249999999997,10.261576145992388,32.75,7.43,43.5,16.0,29.276874999999997,9.64106890253012,29.82,9.29,46.57
