Metric,H-stat,p-value
TotalExperimentTime,11.952,0.0025
Q6_VisitOtherMuseums,6.514,0.0385
TotalDistance,4.489,0.106
TimeMoving,3.656,0.1607
AvgGazeTime,3.429,0.1801
Q4_WantMoreExplanations,2.714,0.2575
Q7_RecommendFriends,2.506,0.2856
TimeStill,2.452,0.2935
AvgGazePercent_Audio,2.29,0.3182
AvgSpeed,2.265,0.3222
Engagement_High,2.0,0.3679
AvgGeneralRating,1.487,0.4753
Q5_VisitAgainThisMuseum,1.078,0.5833
Q1_SatisfactionTour,1.075,0.5843
AvgSaccadeRate,0.865,0.6489
Engagement_Moderate,0.816,0.6649
Engagement_Low,0.797,0.6712
Q3_VisitDuration,0.464,0.7931
Q2_SatisfactionExplanations,0.458,0.7955
AvgSelfReportedLiking,0.236,0.8889
