Measure,mean,median,std,min,max
TimeAtTheTile Active,87.46,86.54,22.76,57.33,185.59
TimeAtTheTile Semi-Active,99.19,90.7,35.49,59.69,268.14
TimeAtTheTile Passive,87.81,84.05,28.83,55.62,286.8
TileTimePercent_Audio Active,120.93,116.28,14.84,107.47,212.67
TileTimePercent_Audio Semi-Active,138.36,119.65,41.31,107.02,307.22
TileTimePercent_Audio Passive,121.82,114.73,29.23,106.93,328.6
SelfReportedLiking Active,27.75,27.5,15.61,1.5,53.0
SelfReportedLiking Semi-Active,28.96,27.5,16.08,1.0,53.0
SelfReportedLiking Passive,27.94,28.25,15.37,1.0,53.0
GazeTime Active,51.06,51.5,19.85,6.0,96.1
GazeTime Semi-Active,53.91,55.27,18.76,5.7,94.56
GazeTime Passive,58.68,57.58,17.27,5.06,109.84
GazePercent_Audio Active,72.08,77.9,20.6,17.1,99.8
GazePercent_Audio Semi-Active,74.31,81.12,20.2,10.53,99.08
GazePercent_Audio Passive,80.33,84.35,15.49,7.82,98.9
SaccadeRate Active,9.34,7.88,4.97,3.25,27.84
SaccadeRate Semi-Active,8.39,7.68,2.65,2.65,15.9
SaccadeRate Passive,8.84,8.5,2.55,4.36,17.03
ReactionTime Active,7.77,5.7,9.27,1.54,74.06
ReactionTime Semi-Active,12.52,6.61,16.01,1.11,63.41
ReactionTime Passive,7.1,4.95,10.77,0.01,74.74
