ID,Klimt,van Dongen,Braque,Pollock,de Chirico,Janco,Picasso
101,36.91,16.8,28.87,45.32,8.72,45.74,31.97
102,37.88,-23.97,31.1,-25.16,16.21,14.09,37.37
103,4.37,26.83,5.58,5.64,13.27,21.86,25.05
104,17.24,-2.42,16.17,-6.07,-10.47,5.58,16.14
105,5.58,4.1,7.07,9.11,4.1,-1.29,-27.46
106,-27.91,-19.89,4.75,-22.22,9.44,-23.93,4.75
107,9.62,-9.12,36.0,10.29,-9.62,15.94,28.29
108,23.63,24.28,37.23,27.51,0.69,23.35,13.74
110,39.82,18.81,33.37,38.77,9.55,41.49,33.31
111,-32.35,-24.28,-30.15,-25.13,-17.88,-21.66,-20.47
112,21.49,18.26,-0.67,27.93,-12.42,14.29,-0.68
113,42.25,43.43,20.48,44.28,3.26,42.39,-5.76
114,23.28,-9.7,14.94,-8.49,-3.99,25.94,-18.41
118,25.68,8.04,-8.41,-1.5,-1.06,17.3,-6.44
119,34.6,45.5,31.06,40.99,44.81,36.32,31.06
120,-26.25,-25.18,-23.16,5.44,-15.37,-28.93,-21.24
121,6.77,11.98,44.03,24.84,-11.45,7.95,42.4
122,7.74,27.43,13.91,26.16,30.43,27.44,-18.31
123,29.76,34.72,32.8,34.91,-7.74,28.97,24.15
125,39.37,-6.73,6.56,29.91,-7.34,9.98,5.08
126,-8.81,-0.95,-11.05,-7.35,2.04,7.01,25.28
127,5.65,-17.01,-16.36,-24.9,-16.95,-11.99,0.9
128,26.87,33.01,-22.19,-22.19,33.22,-21.96,-22.19
129,8.37,0.04,6.71,10.0,-8.63,0.74,6.25
130,0.52,24.87,5.0,23.75,-1.94,15.27,12.72
131,-9.54,0.38,-1.48,18.71,-8.2,27.07,-1.48
132,-20.39,-21.23,-20.75,-23.2,-22.41,-18.35,-20.75
133,-14.3,2.38,-24.15,1.68,4.91,-1.36,-36.79
134,23.18,0.85,40.76,11.19,14.18,21.82,41.1
135,-24.38,-24.08,-15.78,-27.07,-27.72,-32.64,-30.81
136,6.61,2.62,13.35,13.4,3.03,22.89,10.67
137,-15.56,-17.77,18.31,-15.13,7.19,-18.42,20.18
138,-15.04,-5.68,-22.13,-12.45,1.61,-28.08,-22.13
139,7.35,-9.28,10.51,-9.28,2.24,-8.87,10.54
140,-15.83,-4.11,-12.43,-9.43,-1.4,9.98,7.81
141,28.04,11.63,30.31,7.37,3.63,31.03,30.83
142,18.6,5.62,4.89,-6.11,5.62,27.26,-6.41
143,,,,,,,
144,-15.83,-4.11,-12.43,-9.43,-1.4,9.98,7.81
145,15.31,-7.33,9.35,-9.52,-0.96,31.91,-16.86
146,8.93,12.91,30.59,-8.72,-18.08,-12.78,28.53
147,31.35,-5.43,-21.02,-24.78,-5.33,17.89,11.94
148,0.3,14.89,21.42,25.26,16.78,30.51,5.05
149,-4.13,-6.35,48.15,-17.67,-8.73,14.99,49.71
150,-7.12,-4.53,2.83,11.31,-4.54,4.34,-1.07
