Painting,Model,F-value,p-value
Klimt,Liking ~ Duration + Valence,345.81491779977756,7.682664710695076e-50
Klimt,Liking ~ Engagement + Valence,4.865483159860995,0.00933753515381554
van Dongen,Liking ~ Duration + Valence,264.3044795471914,4.033242436513578e-44
van Dongen,Liking ~ Engagement + Valence,13.925058952271463,3.759412741415085e-06
Braque,Liking ~ Duration + Valence,450.96271369232824,1.5570800072929092e-49
Braque,Liking ~ Engagement + Valence,113.30978740203206,5.393428065019902e-26
Pollock,Liking ~ Duration + Valence,232.19670413486742,6.263923442422642e-41
Pollock,Liking ~ Engagement + Valence,7.912457584541205,0.0006055748347785912
de Chirico,Liking ~ Duration + Valence,392.1605570081826,1.344062737180195e-52
de Chirico,Liking ~ Engagement + Valence,63.85705918561247,1.7878039523817523e-19
Janco,Liking ~ Duration + Valence,458.24127614307463,4.488887191454962e-56
Janco,Liking ~ Engagement + Valence,43.06511502905035,9.639646981962075e-15
Picasso,Liking ~ Duration + Valence,499.48831757469867,5.023997846260487e-58
Picasso,Liking ~ Engagement + Valence,60.022700268633756,1.1514053210961583e-18
