Question,Statistic,p-value
Number,32.0,0.467
Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,32.0,0.467
Please rate your satisfaction with the explanations about the artworks.,32.0,0.467
Was the duration of the visit to your liking?,32.0,0.467
Would you like to hear more explanations of this kind about other works in the collection?,32.0,0.467
Would you like to visit the museum again with such a guide?,32.0,0.467
Would you like to visit other museums with similar guidance?,32.0,0.467
Would you recommend your friends to visit the collection accompanied by this type of audio guide?,32.0,0.467
Please rate how much you liked the artwork.,32.0,0.467
Please rate how much you liked the artwork..1,32.0,0.467
Please rate how much you liked the artwork..2,32.0,0.467
Please rate how much you liked the artwork..3,32.0,0.467
Please rate how much you liked the artwork..4,32.0,0.467
Please rate how much you liked the artwork..5,32.0,0.467
Please rate how much you liked the artwork..6,32.0,0.467
Preferred image,32.0,0.467
Preferred image.1,32.0,0.467
Preferred image.2,32.0,0.467
Preferred image.3,32.0,0.467
Preferred image.4,32.0,0.467
Preferred image.5,32.0,0.467
Preferred image.6,32.0,0.467
Preferred image.7,32.0,0.467
Preferred image.8,32.0,0.467
Preferred image.9,32.0,0.467
Preferred image.10,32.0,0.467
Preferred image.11,32.0,0.467
